codi,empresa,nombre,nombre_comercial,direccion,codigo_postal,poblacion,tel_1,tel_2,fax,mobil,categoria_sms,categoria_email,email,dni,persona_contacto,observaciones,forma_pago,banco,entidad,agencia,dc,cuenta,dia_pago1,dia_pago2,descompte_pp,descompte_client,codi_comptable,alertar,provincia,mostrar,comensales,tarifa,iva,taula,menjador,taula_plena,recarrec,irpf,descompte_arti,descompte_comp,procedencia,client_origen,sexe,naixament,identificaio,venedor,inactiu,compta_cobrament,data_alta,data_baixa,targeta_ss,seguretat_social,import_pensio,periodicitat,punts,nivell_comisio
1,1,Vendes Comptat,Vendes Comptat,,,,,,,-0,-0,1,,,,,1,,,,,,0,0,0,0,868,0,,0,1,1,0,tamburet_barra_buit.png,1,tamburet_barra_ple.png,0,0,0,0,Sense dades de procedència,0,0,2000-01-01,1,0,0,1,2000-01-01,2000-01-01,,,0,0,0,1
2,1,Taula 1,Taula 1,,,,,,,-0,1,1,,,,,1,,,,,,0,0,0,0,868,0,,1,4,1,0,taula_rectangular_4_buida.png,1,taula_rectangular_4_plena.png,0,0,0,0,Sense dades de procedència,0,0,2000-01-01,,0,0,1,2000-01-01,2000-01-01,,,0,0,0,1
3,1,Rodona 1,Rodona 1,,,,,,,-0,1,1,,,,,1,,,,,,0,0,0,0,868,0,,1,4,1,0,taula_rodona_buida.png,1,taula_rodona_plena.png,0,0,0,0,Sense dades de procedència,0,0,2000-01-01,,0,0,1,2000-01-01,2000-01-01,,,0,0,0,1
4,1,Barra 1,Barra 1,,,,,,,-0,1,1,,,,,1,,,,,,0,0,0,0,868,0,,1,1,1,0,tamburet_buit.png,4,tamburet_barra_ple.png,0,0,0,0,Sense dades de procedència,0,0,2000-01-01,,0,0,1,2000-01-01,2000-01-01,,,0,0,0,1
5,1,Barra 2,Barra 2,,,,,,,-0,1,1,,,,,1,,,,,,0,0,0,0,868,0,,1,1,1,0,tamburet_barra_buit.png,1,tamburet_barra_ple.png,0,0,0,0,Sense dades de procedència,0,0,2000-01-01,,0,0,1,2000-01-01,2000-01-01,,,0,0,0,1
6,1,Barra 3,Barra 3,,,,,,,-0,1,1,,,,,1,,,,,,0,0,0,0,868,0,,1,1,1,0,tamburet_barra_buit.png,1,tamburet_barra_ple.png,0,0,0,0,Sense dades de procedència,0,0,2000-01-01,,0,0,1,2000-01-01,2000-01-01,,,0,0,0,1
7,1,Barra 4,Barra 4,,,,,,,-0,1,1,,,,,1,,,,,,0,0,0,0,868,0,,1,1,1,0,tamburet_barra_buit.png,1,tamburet_barra_ple.png,0,0,0,0,Sense dades de procedència,0,0,2000-01-01,,0,0,1,2000-01-01,2000-01-01,,,0,0,0,1
8,1,Barra 5,Barra 5,,,,,,,-0,1,1,,,,,1,,,,,,0,0,0,0,868,0,,1,1,1,0,tamburet_barra_buit.png,1,tamburet_barra_ple.png,0,0,0,0,Sense dades de procedència,0,0,2000-01-01,,0,0,1,2000-01-01,2000-01-01,,,0,0,0,1
9,1,Taula 2,Taula 2,,,,,,,-0,1,1,,,,,1,,,,,,0,0,0,0,868,0,,1,4,1,0,taula_rectangular_4_buida.png,1,taula_rectangular_4_plena.png,0,0,0,0,Sense dades de procedència,0,0,2000-01-01,,0,0,1,2000-01-01,2000-01-01,,,0,0,0,1
10,1,Taula 3,Taula 3,,,,,,,-0,1,1,,,,,1,,,,,,0,0,0,0,868,0,,1,4,1,0,taula_rectangular_4_buida.png,1,taula_rectangular_4_plena.png,0,0,0,0,Sense dades de procedència,0,0,2000-01-01,,0,0,1,2000-01-01,2000-01-01,,,0,0,0,1
